"dis3l2GV_cKO_f3_10_ERCC_count.txt" "dis3l2GV_cKO_f3_11_ERCC_count.txt" "dis3l2GV_cKO_f3_12_ERCC_count.txt" "dis3l2GV_cKO_f3_13_ERCC_count.txt" "dis3l2GV_cKO_f3_14_ERCC_count.txt" "dis3l2GV_cKO_f3_9_ERCC_count.txt" "dis3l2GV_cKO_f4_17_ERCC_count.txt" "dis3l2GV_cKO_f4_18_ERCC_count.txt" "dis3l2GV_cKO_f4_19_ERCC_count.txt" "dis3l2GV_cKO_f4_20_ERCC_count.txt" "dis3l2GV_cKO_f4_23_ERCC_count.txt" "dis3l2GV_ctr_f1_1_ERCC_count.txt" "dis3l2GV_ctr_f1_2_ERCC_count.txt" "dis3l2GV_ctr_f1_3_ERCC_count.txt" "dis3l2GV_ctr_f1_4_ERCC_count.txt" "dis3l2GV_ctr_f2_6_ERCC_count.txt" "dis3l2GV_ctr_f2_7_ERCC_count.txt" "dis3l2GV_ctr_f2_8_ERCC_count.txt" "dis3l2MII_cKO_f7_33_ERCC_count.txt" "dis3l2MII_cKO_f7_34_ERCC_count.txt" "dis3l2MII_cKO_f7_37_ERCC_count.txt" "dis3l2MII_cKO_f8_38_ERCC_count.txt" "dis3l2MII_cKO_f8_39_ERCC_count.txt" "dis3l2MII_cKO_f8_40_ERCC_count.txt" "dis3l2MII_cKO_f9_44_ERCC_count.txt" "dis3l2MII_cKO_f9_45_ERCC_count.txt" "dis3l2MII_cKO_f9_46_ERCC_count.txt" "dis3l2MII_cKO_f9_47_ERCC_count.txt" "dis3l2MII_ctr_f5_25_ERCC_count.txt" "dis3l2MII_ctr_f5_26_ERCC_count.txt" "dis3l2MII_ctr_f5_27_ERCC_count.txt" "dis3l2MII_ctr_f5_28_ERCC_count.txt" "dis3l2MII_ctr_f6_29_ERCC_count.txt" "dis3l2MII_ctr_f6_30_ERCC_count.txt" "dis3l2MII_ctr_f6_31_ERCC_count.txt" "dis3l2MII_ctr_f6_32_ERCC_count.txt"
"ERCC-00071" 65 38 14 19 26 39 23 27 27 17 15 26 20 13 9 10 7 12 49 46 37 284 70 174 217 95 84 92 114 111 119 121 220 26 275 214
"ERCC-00073" 8 8 10 4 4 9 7 6 11 5 3 8 6 5 2 2 2 5 12 2 4 42 11 6 13 19 11 12 36 11 9 13 9 4 8 4
"ERCC-00074" 11836 2686 2293 2664 4590 4494 3867 5433 6636 1849 1581 2462 1953 2517 1101 2575 859 915 9622 2990 8619 50365 13968 12430 27656 17038 8499 13081 76153 33771 39855 14048 79128 4215 21927 55373
"ERCC-00075" 12 27 26 18 15 37 22 25 19 17 9 11 23 22 18 22 10 20 24 26 21 30 20 51 33 28 50 46 34 59 51 52 29 18 10 25
"ERCC-00076" 235 77 53 31 58 106 31 54 44 20 22 113 66 39 16 28 14 13 128 26 181 745 165 170 418 294 74 148 573 383 355 99 708 36 845 748
"ERCC-00077" 4 5 6 3 5 4 6 2 8 3 4 4 10 12 5 4 3 1 8 1 4 5 8 8 8 1 5 5 13 11 11 4 11 3 5 8
"ERCC-00078" 47 19 7 2 0 29 11 8 14 2 8 13 17 2 6 2 16 3 32 1 27 52 23 39 70 55 26 4 43 60 26 8 87 3 160 76
"ERCC-00079" 50 22 12 15 28 21 27 29 26 14 15 21 19 12 16 16 12 7 33 11 87 88 40 74 96 61 21 36 143 94 60 59 203 10 100 66
"ERCC-00081" 6 12 5 7 14 12 15 7 9 9 7 9 15 14 9 11 13 12 6 6 10 11 6 13 11 13 14 11 25 17 22 15 22 3 11 8
"ERCC-00083" 6 12 2 2 6 6 6 3 10 4 5 5 4 7 4 8 6 4 8 3 3 6 10 6 7 9 4 9 11 14 18 22 9 5 5 6
"ERCC-00084" 19 31 17 17 4 26 19 18 27 5 19 18 13 18 14 6 16 14 40 9 34 87 27 65 120 21 21 59 53 66 12 40 143 7 134 67
"ERCC-00085" 37 25 30 23 36 17 40 34 39 23 18 36 47 29 30 40 31 30 29 19 36 31 28 35 46 30 48 43 85 65 42 32 52 8 41 25
"ERCC-00086" 10 13 11 6 6 9 10 8 5 1 5 6 9 9 7 11 6 7 7 5 10 7 3 15 7 1 5 5 9 7 5 6 7 0 2 6
"ERCC-00092" 236 70 38 39 43 111 40 59 78 32 31 80 70 56 28 45 10 29 126 29 220 489 143 233 338 381 164 235 571 365 262 128 543 33 515 657
"ERCC-00095" 101 57 53 34 49 71 44 47 57 29 32 37 33 36 36 52 26 30 72 41 80 343 115 128 168 122 83 97 432 283 208 126 510 30 353 345
"ERCC-00096" 8996 3768 1667 1745 3275 5752 2017 2535 3009 918 746 5225 4302 1680 735 1823 688 602 8177 1487 11579 35586 9933 14350 23338 18285 7430 13995 29469 27822 15315 11273 35020 2685 32196 31945
"ERCC-00097" 11 13 10 9 16 11 16 9 15 9 9 9 10 18 10 17 9 7 8 7 6 11 11 14 18 8 8 14 12 11 22 16 16 3 9 7
"ERCC-00098" 10 17 9 7 7 18 20 8 15 8 8 16 16 17 9 7 13 12 9 8 6 9 7 7 12 10 10 6 12 14 21 11 11 4 8 8
"ERCC-00099" 41 34 33 22 41 51 24 26 33 28 36 38 26 44 22 37 35 17 39 32 37 66 46 65 69 26 32 28 166 59 122 60 98 17 36 21
"ERCC-00104" 244 227 167 138 154 292 182 187 177 131 123 257 225 194 166 200 157 143 210 119 184 186 148 217 162 178 153 172 246 245 150 197 191 21 97 113
"ERCC-00108" 847 313 86 99 200 394 134 203 187 101 103 413 208 48 60 185 74 67 623 130 572 3279 517 700 1821 1712 290 928 3188 1249 985 555 3742 180 3376 3332
"ERCC-00109" 7 6 5 5 10 7 4 5 15 7 8 4 5 5 6 4 6 2 1 1 6 10 8 7 9 7 3 6 9 15 7 10 7 3 3 3
"ERCC-00111" 598 228 153 106 281 355 245 413 405 77 77 302 149 190 54 229 62 62 640 112 917 1738 671 1347 1398 1149 772 1001 1705 2031 816 728 2092 125 1805 1945
"ERCC-00112" 52 49 22 13 47 51 22 44 23 13 18 40 18 11 8 21 10 8 93 11 57 381 48 141 169 120 45 57 222 274 89 104 200 15 307 388
"ERCC-00113" 2902 1386 1786 2118 2845 2423 1963 2903 2700 1192 1224 1607 1408 1760 1282 1899 995 1174 3689 1508 4141 11546 2352 7681 6675 4719 5061 5097 9085 9619 3756 4647 9910 768 8694 9181
"ERCC-00116" 146 28 43 26 56 86 40 33 35 10 6 57 40 19 14 12 14 21 98 10 105 613 95 179 113 274 57 170 275 279 103 136 319 16 246 262
"ERCC-00117" 5 15 11 5 8 12 7 6 5 6 0 7 12 0 5 1 3 5 5 1 7 6 7 8 12 8 7 7 14 12 12 11 9 2 15 7
"ERCC-00120" 18 13 5 7 15 19 10 5 10 12 9 16 27 17 9 15 12 7 12 3 10 12 14 11 10 11 13 12 41 24 21 21 27 6 10 11
"ERCC-00123" 14 12 11 4 6 13 3 5 8 5 3 6 2 10 6 2 7 8 1 4 3 2 10 3 9 2 2 5 10 9 11 14 10 4 6 4
"ERCC-00126" 3 11 9 1 7 6 6 8 7 3 2 7 2 2 3 3 1 1 3 3 17 50 5 8 4 21 7 7 13 13 3 23 24 1 95 25
"ERCC-00130" 14640 6229 3905 4418 7353 9892 6949 7122 8470 3627 4150 7833 6325 3880 2285 4049 1831 2615 22768 6599 29690 71767 22735 38961 53364 39487 21937 31534 56411 58575 31313 26731 62373 6028 53525 59964
"ERCC-00131" 136 50 23 31 41 51 29 30 54 30 44 42 46 19 28 25 22 23 68 38 116 310 101 144 156 158 67 137 242 228 132 71 324 16 293 297
"ERCC-00134" 6 2 5 9 8 3 4 2 9 5 5 6 8 8 4 10 2 7 10 0 5 3 4 1 8 8 3 3 10 11 20 10 9 2 7 3
"ERCC-00136" 1678 685 372 412 623 1099 408 546 671 249 270 803 812 305 200 327 179 220 1858 456 2261 6378 1611 3114 4522 3272 1773 2541 5201 5260 2356 2112 6012 483 5722 5496
"ERCC-00137" 11 9 8 4 6 12 6 5 8 5 6 9 6 7 13 9 5 12 12 6 5 8 10 7 6 4 3 6 16 7 14 6 16 6 10 23
"ERCC-00138" 54 35 33 25 45 41 46 59 62 33 39 57 43 65 39 58 34 37 39 36 33 22 33 39 41 32 39 43 88 82 118 59 53 31 26 23
"ERCC-00142" 14 10 13 14 12 8 13 10 14 13 7 7 13 20 11 7 10 10 9 4 10 15 9 11 13 14 12 12 14 10 6 18 12 5 6 13
"ERCC-00143" 18 13 3 8 4 13 5 8 10 5 4 11 15 3 10 1 6 4 7 3 5 6 11 6 3 4 4 16 30 12 40 13 30 7 5 7
"ERCC-00144" 25 19 14 15 17 14 10 8 14 15 11 20 32 11 7 14 8 10 14 5 30 27 27 31 33 30 18 31 70 46 67 38 42 4 38 47
"ERCC-00145" 270 125 100 99 208 188 135 162 172 88 83 148 127 129 102 127 83 63 362 146 361 1198 443 403 1110 704 311 532 1152 718 715 390 1178 134 1075 1471
"ERCC-00147" 41 22 21 28 46 34 35 29 50 29 30 44 47 49 46 56 35 33 29 16 29 27 19 42 23 37 42 42 58 69 74 65 43 25 21 24
"ERCC-00148" 5 9 14 6 16 22 12 11 9 7 11 9 5 7 9 4 7 6 11 7 17 30 18 20 21 11 10 11 26 16 34 37 37 9 12 34
