"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000107272",1.87070197198763,-1.19036675130763,1.7738551199949,-0.671061992543703,0.502181038183852,0.605996492729932
"ENSMUSG00000107276",7.04292705122675,2.5144144170901,0.808872135378626,3.10854374519049,0.00188011810602483,0.00479587167474783
"ENSMUSG00000107277",26.4915370310869,2.49556424348709,0.533991374497178,4.67341676789627,2.96229786042305e-06,1.22101965029702e-05
"ENSMUSG00000107278",35.901548248843,-0.0786082059917561,0.361770252517093,-0.217287644423008,0.82798418540629,0.876144247673128
"ENSMUSG00000107283",12.0689274302259,0.522307764837411,0.72585644822912,0.719574464223182,0.471787039142293,0.576601994326086
"ENSMUSG00000107288",15.0067808106785,0.482783658558585,0.610682931914013,0.790563536867546,0.429198731802235,0.535333883242186
"ENSMUSG00000107295",11.036799528789,0.467254651087493,0.764310626368863,0.611341298900105,0.540973655449069,0.639770559274097
"ENSMUSG00000107296",18.290073194661,0.761648256308041,0.642437332279729,1.18556039326869,0.235795951272435,0.330278111159136
"ENSMUSG00000107300",50.4888427016909,3.07814939215572,0.445706607727668,6.90622337382198,4.97726062757428e-12,4.00881398549465e-11
"ENSMUSG00000107304",18.9883087081283,-1.46577151730894,0.708726527092789,-2.06817645632874,0.0386234333051898,0.0708074194109552
"ENSMUSG00000107313",7.43676865131538,6.67146279889213,1.04900304656411,6.35981260563899,2.02000033423613e-10,1.38395920335358e-09
"ENSMUSG00000107318",3.09345291616128,5.40495871431469,1.39784087636176,3.86664806110297,0.000110341484122005,0.000356124795770297
"ENSMUSG00000107319",8.33952327386456,1.613457945235,0.712609427629968,2.26415464443282,0.0235646050611637,0.0460436012602775
"ENSMUSG00000107320",3.12944102914741,5.42096454830737,1.7917525208634,3.0255096533617,0.0024821448105403,0.00617459879787145
"ENSMUSG00000107334",5.32154723821309,-1.28056829799434,1.18791268673413,-1.07799867136274,0.281034349063925,0.381688178765516
"ENSMUSG00000107335",25.1208041866347,1.71537208578771,0.515078971865416,3.33030890307034,0.000867496866033477,0.00236465353332461
"ENSMUSG00000107336",2.04920219412704,4.81636507520939,1.60209517221609,3.00629148550968,0.00264455358514276,0.00654019572299159
