,gene_id,log2FC_rM,padj_rM,log2FC_pA,padj_pA,rM_minus_pA
21,ENSMUSG00000000184,0.11924852721724101,0.8975088528495809,0.41400642698730794,0.742301661120522,-0.29475789977006694
22,ENSMUSG00000000194,1.34941354081562,6.649381872439151e-09,-0.3874473241756479,0.36908957403061604,1.736860864991268
23,ENSMUSG00000000197,3.16695875071973,6.962232003391099e-21,1.7782524835429099,0.00139882685541275,1.3887062671768202
24,ENSMUSG00000000202,0.513628170621093,0.371840372833794,-1.77835462321315,0.00561822254961177,2.2919827938342427
25,ENSMUSG00000000214,-0.268724477823585,0.31461383946238397,-1.75472066955159,6.538496639936521e-07,1.4859961917280051
26,ENSMUSG00000000215,3.1161115852102594,0.0036239060647173704,1.03528354561615,0.0753218936730887,2.0808280395941097
27,ENSMUSG00000000223,3.3724513680072796,4.29364907134212e-05,-0.724138002888142,0.665648918718496,4.096589370895422
28,ENSMUSG00000000247,0.0569355940547229,0.86250743874807,-0.6638758023672271,0.148004632476593,0.72081139642195
29,ENSMUSG00000000248,4.56030226234871,3.20800374676639e-12,0.36391871269593395,0.877331629229991,4.196383549652776
30,ENSMUSG00000000253,0.30304971401048,0.21133270177136604,-0.26114490996182005,0.585601016629888,0.5641946239723
31,ENSMUSG00000000275,3.2132937409196,6.737580072235749e-05,1.9860223434046498,,1.2272713975149503
32,ENSMUSG00000000276,1.8341336536905302,3.4909918413268897e-15,-0.807672769368392,0.0377969054304497,2.641806423058922
33,ENSMUSG00000000278,-0.219884849279802,0.28658581200939803,-0.7404985306035491,0.048575989179100006,0.5206136813237471
34,ENSMUSG00000000282,1.71308850946673,8.893141728694251e-14,-0.0431855600932435,0.9532281607510121,1.7562740695599737
35,ENSMUSG00000000290,-1.501871047424,0.0399906511476254,-0.943715917480172,0.577156206846133,-0.558155129943828
36,ENSMUSG00000000295,1.26660360023044,0.000474715221756727,0.171529402641664,0.703013055817218,1.0950741975887759
37,ENSMUSG00000000296,-0.4689937912012321,0.24319656409740897,-0.24847324061240197,0.715704858259359,-0.2205205505888301
38,ENSMUSG00000000301,1.07429957875117,0.000621185231343844,0.0346364436575578,0.9566728910079101,1.0396631350936123
39,ENSMUSG00000000303,0.4770167172243329,0.0213548079701043,-0.6915925113896378,0.0877957933261469,1.1686092286139709
40,ENSMUSG00000000305,0.12128501957157699,0.712271602084779,-1.2852460390404399,7.286764174746079e-07,1.4065310586120168
41,ENSMUSG00000000318,1.0538209945086,0.00592243850835735,-1.00065710436312,0.0100337238185342,2.05447809887172
42,ENSMUSG00000000320,-0.255007417606561,0.481872039709031,-0.47750577815785206,0.242206241143936,0.22249836055129107
43,ENSMUSG00000000325,1.8594148166873898,3.00751773078739e-06,-0.323029020877935,0.598712023584207,2.182443837565325
44,ENSMUSG00000000326,6.8611684000301505,2.7901089781012102e-09,0.776941636048135,0.536637781244525,6.084226763982016
45,ENSMUSG00000000339,0.338716738420746,0.24617348166773104,-0.619702078488281,0.10725306677520899,0.958418816909027
46,ENSMUSG00000000340,3.2420675293145003,8.753504423385769e-44,1.37335109184971,0.0032439135748168,1.8687164374647902
47,ENSMUSG00000000346,-0.227589316581184,0.346798839370417,-0.48957326441779503,0.0891380844942259,0.26198394783661105
48,ENSMUSG00000000355,1.25398788625656,0.000169264222619172,0.24470300574947,0.780376600140273,1.0092848805070902
49,ENSMUSG00000000365,-0.477476096570341,0.0159012428523009,-1.08807628959178,4.07290203891782e-06,0.6106001930214389
50,ENSMUSG00000000374,0.456255987800259,0.10153207252851801,-0.717013184624249,0.00161086032022974,1.173269172424508
51,ENSMUSG00000000378,0.568951372216751,0.0757070315501238,-0.582731243293728,0.233700869376427,1.1516826155104791
52,ENSMUSG00000000384,0.42980857210327,0.17357110446535098,-1.4021893051564198,0.00075841714893243,1.8319978772596899
53,ENSMUSG00000000386,0.0839957034072717,0.917854954867804,-1.06564978671565,0.356402468848631,1.1496454901229218
54,ENSMUSG00000000392,4.14838171244734,0.00168991224142466,2.82323203995454,0.186146238079431,1.3251496724927998
55,ENSMUSG00000000399,0.786616641559853,1.23700464242194e-05,-0.26412479934318805,0.524670737740783,1.0507414409030411
56,ENSMUSG00000000402,1.50306728343023,1.17636326474957e-10,0.429346850894948,0.277824117178606,1.073720432535282
