"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000113184",9.13125854332511,-0.25480600217277,0.645169565112505,-0.394944237842863,0.692884041210581,0.798212157011332
"ENSMUSG00000113199",8.03155123072469,1.90675661691866,0.545167833601625,3.49755891561276,0.000469536990741485,0.00321733939517689
"ENSMUSG00000113204",36.607089746655,1.42854007881469,0.44010457464189,3.24591054291377,0.00117075622078332,0.00666065363445647
"ENSMUSG00000113209",4.06813232599455,-0.251947931913092,0.596724126311397,-0.422218443672604,0.672865580468343,0.785242992036514
"ENSMUSG00000113220",39.0511453736709,0.392093737392813,0.385808613137175,1.0162907826358,0.309490936590629,0.4621232458292
"ENSMUSG00000113224",0.704878564985049,-0.686775612636692,1.80778618561524,-0.379898694934966,0.704020616134775,NA
"ENSMUSG00000113235",52.8640046182252,-4.74731807634556,0.629800890029235,-7.53780782387462,4.77937474793942e-14,7.66520673859999e-12
"ENSMUSG00000113236",5.69228417818413,-1.85031625453411,0.671683170639113,-2.75474559348199,0.00587377882786929,0.0237034352890771
"ENSMUSG00000113238",0.97995245489239,-0.709050062272709,1.69731449452246,-0.417748192548253,0.67613123285474,NA
"ENSMUSG00000113241",24.4150574057182,-0.192220980667636,0.388933258861308,-0.494226133374161,0.621146485441103,0.74659675628696
"ENSMUSG00000113255",25.3064405506696,0.126961796559529,0.306931046654652,0.41364924774906,0.679131000787236,0.789763555918587
"ENSMUSG00000113257",3.20338028800884,-0.93464595663995,0.927493670648215,-1.00771141218326,0.313593024735977,0.466552393016507
"ENSMUSG00000113260",18.579872939393,-0.263591883045663,0.445755168480964,-0.591337805333646,0.554294103632728,0.691738009869211
"ENSMUSG00000113265",1.29976288198694,0,2.46994253226301,0,1,NA
"ENSMUSG00000113275",4.93080426221201,-1.3318857483209,0.610984630375473,-2.17990057704465,0.0292648321588394,0.0811443536346235
"ENSMUSG00000113295",3.79313335572336,2.93521708345867,0.935861215071562,3.13638073272887,0.00171046991761819,0.00901543455796255
"ENSMUSG00000113300",5.66135008110629,-5.00848502642669,1.05498305190979,-4.7474554376585,2.05991755598868e-06,3.78701000467788e-05
"ENSMUSG00000113303",6.13302100195907,-0.0459689929344595,0.629109314440943,-0.0730699607830633,0.94175044556181,0.963667588458461
"ENSMUSG00000113309",2.26075071083455,1.75233181582746,1.49552965426731,1.17171318591202,0.241312227262555,0.388201939921803
"ENSMUSG00000113310",1.57911374809141,2.73504192757058,1.87200521693676,1.4610225990962,0.144009239617241,NA
"ENSMUSG00000113321",47.0521198468055,-0.857115650699417,0.304310399043664,-2.81658350616022,0.00485374232501834,0.020526625000831
"ENSMUSG00000113335",24.2748860405638,4.52979566401908,0.711900789019961,6.36295918460075,1.97903294259218e-10,1.28675346537653e-08
"ENSMUSG00000113336",381.899227709967,-0.827092690554482,0.313610861993545,-2.63732156882852,0.00835635745027951,0.0311743596505775
"ENSMUSG00000113338",9.77609267241898,-1.98225576426897,0.770533031597898,-2.57257727181176,0.0100944419229335,0.0359235845270922
"ENSMUSG00000113352",10.7131780899565,1.98988818950874,0.785048009851203,2.53473439144939,0.0112532614708239,0.0392349737409265
"ENSMUSG00000113363",2.93052556424962,-1.78233323856414,1.16671781105689,-1.52764723540956,0.126600147251964,0.243234053590767
"ENSMUSG00000113383",6.22750735155966,-0.84402905383268,0.783630150289658,-1.07707577805767,0.281446413217495,0.432047183097776
"ENSMUSG00000113384",4.01517659867597,0.232468059632018,0.726406706547996,0.320024660478074,0.748949636479163,0.840151931323698
"ENSMUSG00000113389",0.558668742791557,0.798729296846277,2.13928951200642,0.373361946741447,0.708879077245745,NA
"ENSMUSG00000113390",24.1897062109311,-0.675155202527752,0.390825582694692,-1.72751025629552,0.0840760648168615,0.180270044756296
"ENSMUSG00000113400",0.781394426522008,-3.18992826649469,2.41159735637764,-1.32274496737969,0.18592020401836,NA
"ENSMUSG00000113402",3.32835344231328,2.94753304611852,1.3076002831593,2.25415448748372,0.024186450851898,0.0704183665881677
"ENSMUSG00000113406",7.08398398122466,-0.299703337296494,0.708680685230095,-0.422903210913933,0.672365880031897,0.784768604084915
"ENSMUSG00000113407",8.96282706141658,4.45163234776671,0.970551193944839,4.58670534387053,4.50295496721121e-06,7.3315861797868e-05
"ENSMUSG00000113410",18.4304495051191,-0.670155095381825,0.533531823936818,-1.25607333117806,0.20908938419955,0.350983376188239
"ENSMUSG00000113416",81.0034886048679,5.94775308484266,0.584802720652855,10.1705290943291,2.68446474965301e-24,2.37928349390299e-21
"ENSMUSG00000113440",2.74957130222401,0.569667918575411,0.923059602302995,0.617151825466214,0.537134587753365,0.677148260051405
"ENSMUSG00000113447",103.62360447668,-0.402288293983608,0.344765532955843,-1.16684603166272,0.24327255374352,0.390237169464744
"ENSMUSG00000113449",22.7576769346813,-0.127144710480975,0.544045476653999,-0.233702357499494,0.815216057412943,0.886379029366862
"ENSMUSG00000113450",22.0963843175692,1.30924540610799,0.335037201788488,3.90776128477376,9.31552770081209e-05,0.000881311721807167
"ENSMUSG00000113455",4.01040876417064,-2.43838517390022,0.954209431604286,-2.55539831523215,0.0106066346339742,0.0373282606554076
"ENSMUSG00000113474",2.25331711300223,-1.99954843752963,0.904307727647732,-2.21113717863588,0.0270263390663586,0.0764014688395969
"ENSMUSG00000113508",2.51629261690811,-0.124180035832192,0.812712250207538,-0.152797051847663,0.878558322719838,0.928221479051513
"ENSMUSG00000113524",49.0840270546482,-1.73162171654399,0.429309608552116,-4.03350328538891,5.49514120677251e-05,0.000574505484444152
"ENSMUSG00000113531",39.1049219797368,2.70591034408489,0.502517090281871,5.38471307029,7.25603039731499e-08,2.19768978220835e-06
"ENSMUSG00000113543",2.21181160522433,-0.445780868894384,1.05386733437186,-0.42299524271723,0.672298731985586,0.784768604084915
"ENSMUSG00000113544",3.9912455441806,-5.12798705194469,1.21841101939706,-4.20874973248544,2.56787613608338e-05,0.000306470830132134
"ENSMUSG00000113550",11.7332066101123,1.32036352888056,0.6255917396761,2.11058338072715,0.0348081373891795,0.0927335917787981
"ENSMUSG00000113553",13.2441810984164,0.909406258240065,0.486014394872413,1.87115087090949,0.0613241721880085,0.141951760776091
"ENSMUSG00000113566",3.05250798346018,-0.903063859702753,0.787759449162707,-1.14637007612235,0.251642058796578,0.399814005059893
"ENSMUSG00000113569",6.51329484089061,5.31513485867009,0.943320176715054,5.63449716211849,1.75569852034421e-08,6.34462727094345e-07
"ENSMUSG00000113570",10.1393533391866,3.18764578123881,0.692390304025368,4.60382787382594,4.14795330764729e-06,6.83478803334446e-05
"ENSMUSG00000113574",0.7011954353897,0.658399530113777,2.8138535379547,0.233985003566443,0.814996620960771,NA
"ENSMUSG00000113581",4.60019456959037,0.299285615449224,0.881387777275686,0.339561794666925,0.734186553686842,0.829555928883952
"ENSMUSG00000113589",14.2398443687685,0.689745795104283,0.411077353973378,1.67789781761841,0.0933670486653385,0.194615806352804
"ENSMUSG00000113593",76.3764842085895,0.0979679084916604,0.309219707706924,0.31682297748148,0.75137792818225,0.841807219119759
"ENSMUSG00000113600",78.9762332637134,0.258075364865095,0.345375238616248,0.747231810534763,0.45492364543745,0.604845090498844
"ENSMUSG00000113616",5.66814208709169,2.29594699252793,0.803610142350097,2.8570408355146,0.00427610820803708,0.0185591912946764
"ENSMUSG00000113620",8.17626065775899,1.51186157579555,0.674554234171943,2.24127505129585,0.0250082639845911,0.0721098959246338
"ENSMUSG00000113623",54.0542626610375,-1.24982171776298,0.316301391590671,-3.95136332305608,7.77072473061808e-05,0.000767051608813649
"ENSMUSG00000113626",157.527092616991,0.373535097027418,0.34995571111521,1.06737820005014,0.285801088476712,0.436423951884472
"ENSMUSG00000113627",0.790512311343194,1.55615444363165,1.78569533152207,0.871455738367885,0.383505363247553,NA
"ENSMUSG00000113636",4.06868167614179,-0.318749217622453,0.580731654641176,-0.548875225028679,0.583091081418136,0.715584740641409
"ENSMUSG00000113637",5.12212420344627,0.0617927219505168,0.623735059093012,0.0990688611289079,0.921083595650614,0.95244714878863
"ENSMUSG00000113642",5.59812303548847,0.473507489834592,0.775621425717006,0.610487892849103,0.541538661119808,0.68106878665105
"ENSMUSG00000113645",0.674255590307082,0.650503875980878,2.76909675581846,0.234915545877562,0.814274283307033,NA
"ENSMUSG00000113657",464.328254894072,3.89950623773138,0.328971061117997,11.8536451944406,2.06029546552224e-32,1.15651252131315e-28
"ENSMUSG00000113660",1.2103614898147,0.515030981097256,1.25291042119587,0.411067680804884,0.681022907612325,NA
"ENSMUSG00000113665",1.01656334996426,-0.598671787161447,3.84068427475382,-0.155876334614831,0.876130499512804,NA
"ENSMUSG00000113666",30.9056683578632,-0.216249235741507,0.471464625941849,-0.458675420896116,0.646467267092773,0.765308174189265
"ENSMUSG00000113669",6.3541933084108,-0.864044621526525,1.04001997023521,-0.830796183010903,0.406088779320898,0.560397856573296
"ENSMUSG00000113687",0.700827731863286,-0.12932631890521,2.89721866770036,-0.044638093888806,0.964395778376146,NA
