"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000053332" 100 114 297 110 114 90 101 113 165 57 144 141 237 108 126 103
"ENSMUSG00000053333" 277 177 335 235 259 228 238 247 426 407 410 426 545 416 448 338
"ENSMUSG00000053334" 29 37 65 13 61 53 21 42 45 37 12 12 62 7 32 38
"ENSMUSG00000053338" 27 34 68 30 84 56 46 24 38 24 27 15 108 63 14 57
"ENSMUSG00000053347" 436 435 542 511 708 671 540 428 750 562 1024 804 1432 1059 1072 709
"ENSMUSG00000053353" 4 5 5 2 15 7 11 3 3 0 0 1 0 0 0 3
"ENSMUSG00000053358" 33 25 34 38 25 45 22 33 15 25 39 20 13 12 25 30
"ENSMUSG00000053360" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053367" 133 190 149 64 44 104 166 112 236 166 84 17 257 272 284 302
"ENSMUSG00000053368" 8 0 7 6 2 0 11 5 0 3 0 2 6 0 4 1
"ENSMUSG00000053375" 3 2 3 5 6 0 7 4 2 12 7 0 0 9 4 1
"ENSMUSG00000053388" 22 1 8 13 13 21 9 5 12 12 9 10 49 17 51 46
"ENSMUSG00000053389" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053390" 3557 3118 3532 4026 4114 4214 3799 3268 2329 2271 2368 3300 3577 2250 2715 2014
"ENSMUSG00000053391" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053395" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053398" 94 113 89 121 152 104 120 134 197 85 145 197 280 139 183 147
"ENSMUSG00000053399" 39 43 54 23 93 59 49 65 27 86 40 73 128 97 115 125
"ENSMUSG00000053411" 1025 1268 1412 1761 1560 1553 1379 1375 212 181 140 247 334 211 210 234
"ENSMUSG00000053414" 2 12 2 24 2 0 0 0 0 2 0 0 0 0 0 0
"ENSMUSG00000053420" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053436" 2463 2019 2299 2878 2308 2409 2422 2311 958 801 795 903 1167 1036 1199 1018
"ENSMUSG00000053441" 115 285 641 234 208 148 260 467 399 169 268 239 661 427 405 270
"ENSMUSG00000053442" 14 46 29 0 24 25 9 14 0 15 17 30 31 11 4 18
"ENSMUSG00000053453" 368 354 446 315 388 397 333 399 456 504 488 487 795 298 405 396
"ENSMUSG00000053460" 88 75 82 128 104 18 71 62 29 40 37 58 23 24 61 59
"ENSMUSG00000053461" 91 69 142 127 44 100 79 79 49 39 13 13 95 44 59 82
"ENSMUSG00000053465" 0 0 4 0 0 0 0 6 19 0 0 0 0 0 0 0
"ENSMUSG00000053469" 3 27 21 3 4 0 3 12 1 0 8 7 15 6 7 0
"ENSMUSG00000053470" 381 485 542 445 436 542 571 629 191 104 256 265 622 229 339 205
"ENSMUSG00000053472" 0 0 0 0 23 16 18 2 2 2 0 2 8 0 7 16
"ENSMUSG00000053475" 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0
"ENSMUSG00000053477" 2437 2218 3893 2695 2788 3116 2690 2885 74 123 68 111 625 570 663 422
"ENSMUSG00000053483" 961 1085 1470 1157 1318 1478 1253 1164 2135 1831 1979 2359 2778 2008 2045 1617
"ENSMUSG00000053490" 11573 10173 12349 11078 12938 12931 12088 11288 14049 12967 16270 18820 22003 17040 14342 10864
"ENSMUSG00000053499" 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053508" 13 6 12 4 15 13 15 21 47 14 24 10 103 62 28 43
"ENSMUSG00000053510" 2124 2877 3418 2619 2699 2695 2434 2508 2794 1547 2075 2534 3782 3251 2979 2870
"ENSMUSG00000053519" 8 17 28 7 12 10 3 3 44 26 45 29 21 36 24 20
"ENSMUSG00000053522" 4 0 16 4 7 0 6 8 0 0 0 0 0 0 0 0
"ENSMUSG00000053528" 482 315 359 386 631 549 523 398 168 140 380 351 646 339 326 263
"ENSMUSG00000053536" 327 717 722 365 733 684 683 1185 310 264 312 384 402 195 279 301
"ENSMUSG00000053541" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053545" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053550" 17 3 13 17 18 20 17 21 0 3 1 9 0 0 2 6
"ENSMUSG00000053552" 12 3 6 9 4 0 12 5 0 0 7 0 0 3 2 0
"ENSMUSG00000053553" 493 535 517 434 513 485 481 559 798 943 961 1103 1469 1272 1053 770
"ENSMUSG00000053559" 1925 1654 1995 2054 1849 1912 1623 1640 3399 2965 3043 3641 4329 3248 3163 3276
"ENSMUSG00000053560" 367 402 376 352 160 143 108 157 5 3 19 5 10 2 24 19
"ENSMUSG00000053565" 510 581 684 468 553 474 422 523 1334 1085 1250 1443 1909 1890 1286 1284
"ENSMUSG00000053574" 1 5 23 0 1 8 3 16 0 0 0 0 0 0 0 0
"ENSMUSG00000053580" 6397 5606 8147 6354 6381 6869 7432 6399 4881 4444 4567 5407 4757 4496 4657 4589
"ENSMUSG00000053581" 2728 2581 3618 2906 2670 2503 2530 2412 3955 3369 3994 4295 4913 3351 3608 3026
"ENSMUSG00000053588" 6 3 0 33 14 11 0 4 0 0 0 0 5 0 0 0
"ENSMUSG00000053593" 1 7 8 6 0 0 11 7 2 0 0 6 0 14 6 8
"ENSMUSG00000053600" 515 736 675 864 702 705 777 746 906 798 916 1048 1380 983 786 837
"ENSMUSG00000053603" 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053604" 1384 1314 1432 1230 1603 1845 1379 1563 1055 1111 1427 1170 1367 998 1407 1030
"ENSMUSG00000053613" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2
"ENSMUSG00000053615" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053617" 4276 4934 5168 4081 4207 4911 3943 3769 7161 4383 5548 5781 7167 5396 5533 5245
"ENSMUSG00000053624" 28 24 57 7 18 19 24 27 54 23 15 15 68 40 15 28
"ENSMUSG00000053626" 1009 1135 1581 1116 920 1070 914 957 1999 1691 2404 1998 2081 1763 1720 1709
"ENSMUSG00000053640" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053641" 11635 9165 15665 14811 13690 13762 13291 11899 5496 4900 6417 5969 7991 5590 5357 4377
"ENSMUSG00000053644" 708 635 881 506 641 688 672 621 805 555 530 695 736 619 804 692
"ENSMUSG00000053646" 1655 2164 2289 1847 1952 1798 1938 1667 1295 755 1002 875 1079 604 766 1030
"ENSMUSG00000053647" 30 31 20 35 12 42 31 33 0 3 24 4 4 1 8 4
"ENSMUSG00000053654" 0 0 0 4 3 5 0 1 17 16 1 0 27 6 11 5
"ENSMUSG00000053675" 0 0 3 0 0 0 0 0 0 1 0 2 0 0 0 0
"ENSMUSG00000053678" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053684" 1259 1265 1257 1477 1342 1452 1082 1113 708 628 754 940 766 446 400 377
"ENSMUSG00000053687" 3 0 1 0 0 0 0 0 0 0 0 0 14 0 0 1
"ENSMUSG00000053693" 1 0 7 13 0 0 1 0 5 5 0 2 10 19 0 8
"ENSMUSG00000053695" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053702" 290 385 374 311 446 334 302 396 427 221 495 467 755 365 376 468
"ENSMUSG00000053706" 109 129 188 94 129 108 135 106 197 156 162 178 199 153 166 152
"ENSMUSG00000053714" 37 59 61 55 86 62 41 58 18 36 29 24 44 22 38 59
"ENSMUSG00000053716" 24702 24391 26408 25232 26930 26795 25847 20224 31230 27212 28335 30935 37391 27206 30726 29610
"ENSMUSG00000053719" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053720" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053729" 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053730" 2232 2164 2473 2438 2200 2215 1681 1842 2484 2259 2658 2944 2988 2202 2285 1938
"ENSMUSG00000053740" 32 18 20 11 13 17 11 8 16 11 11 12 7 11 6 16
"ENSMUSG00000053742" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053746" 17 26 6 5 23 44 22 16 10 4 2 0 3 0 9 9
"ENSMUSG00000053747" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053749" 115 135 99 90 122 114 117 92 42 52 20 53 55 16 26 41
"ENSMUSG00000053754" 7790 8342 8897 8787 9460 9656 8767 8805 11967 8922 9864 11780 15428 10084 11908 10587
"ENSMUSG00000053765" 272 260 155 239 146 160 125 101 370 362 385 423 393 332 294 251
"ENSMUSG00000053768" 846 878 768 1002 954 1000 753 701 968 805 1264 1200 1749 1490 1157 981
"ENSMUSG00000053769" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053773" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053774" 5338 5053 6594 5574 5983 5595 5878 5991 3673 3353 3571 3636 4783 3734 3967 3014
"ENSMUSG00000053783" 44 22 71 69 15 66 23 84 11 34 25 44 34 48 36 24
"ENSMUSG00000053790" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053797" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053799" 1259 1275 1362 1126 1558 1268 1128 1431 927 776 936 773 1152 1210 1054 897
"ENSMUSG00000053801" 78 122 92 122 169 119 115 152 52 82 85 114 355 209 247 248
"ENSMUSG00000053815" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053819" 113 149 295 178 175 97 114 134 74 87 71 44 95 77 45 41
"ENSMUSG00000053820" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053821" 0 0 0 4 2 0 0 0 0 0 12 0 0 0 0 5
"ENSMUSG00000053825" 3 0 4 0 24 23 11 13 0 0 6 4 0 0 14 3
"ENSMUSG00000053830" 2 0 3 3 4 6 2 7 2 1 2 1 8 4 2 2
"ENSMUSG00000053835" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053838" 3396 3887 4077 4013 3602 4031 3479 3138 3622 2398 3538 2906 4627 3415 3543 4152
"ENSMUSG00000053841" 2651 2735 2728 2617 2385 2591 2248 2131 2995 2214 2088 2411 3554 2387 2953 2487
"ENSMUSG00000053846" 1 39 17 11 19 9 4 5 0 6 0 0 0 3 0 3
"ENSMUSG00000053852" 59 41 109 70 78 121 39 58 175 178 141 192 56 239 214 106
"ENSMUSG00000053856" 275 125 174 147 123 181 187 181 31 59 79 114 267 83 159 180
"ENSMUSG00000053861" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053862" 0 0 1 0 0 2 0 0 0 0 0 0 8 4 0 0
"ENSMUSG00000053863" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053868" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053870" 1508 1517 2011 1668 1737 1784 1761 1620 1547 1043 1124 1388 1500 1118 1085 1028
"ENSMUSG00000053873" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053877" 878 1030 1304 1037 1225 1117 979 892 851 652 716 645 810 606 919 833
"ENSMUSG00000053886" 0 0 1 37 0 50 29 148 0 8 0 0 0 0 0 0
"ENSMUSG00000053889" 54 4 36 58 55 82 131 71 17 21 20 10 4 63 3 19
"ENSMUSG00000053896" 5 1 3 0 0 3 8 3 10 0 0 4 0 1 11 0
"ENSMUSG00000053897" 139 815 203 192 135 144 237 147 4004 4011 733 2386 2572 266 398 352
"ENSMUSG00000053898" 40 15 35 51 22 24 39 51 47 27 55 95 37 46 67 48
"ENSMUSG00000053907" 359 490 567 399 419 428 419 483 131 128 145 191 243 112 158 80
"ENSMUSG00000053909" 1 10 8 1 1 2 2 6 10 1 20 7 12 5 18 11
"ENSMUSG00000053914" 76 65 66 50 96 47 63 82 11 18 23 0 24 0 4 17
"ENSMUSG00000053916" 0 0 0 0 0 13 0 3 0 0 0 0 0 0 1 0
"ENSMUSG00000053925" 218 186 240 183 134 226 176 204 231 123 175 165 244 101 253 234
"ENSMUSG00000053929" 1096 1102 1143 1259 1431 1065 1170 1179 1207 735 916 1178 1297 918 1046 1148
"ENSMUSG00000053930" 0 17 26 3 19 8 25 35 1 6 2 3 9 9 0 0
"ENSMUSG00000053931" 4403 3989 4901 5259 4752 4864 4734 4133 3841 3901 4874 5114 6573 4794 4734 3335
"ENSMUSG00000053950" 1864 2835 2927 2122 2287 2296 2142 2371 1356 814 760 1066 1283 797 1119 1061
"ENSMUSG00000053957" 9 10 2 5 2 8 6 7 14 2 1 13 4 0 3 5
"ENSMUSG00000053961" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053963" 3 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053964" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
"ENSMUSG00000053965" 664 230 1769 913 369 582 989 843 64 67 58 49 104 31 71 97
"ENSMUSG00000053977" 5 25 36 7 16 18 8 8 3 2 0 11 23 17 1 3
"ENSMUSG00000053979" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000053980" 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 2
"ENSMUSG00000053985" 78 131 80 117 120 99 73 114 25 27 26 46 109 12 37 33
"ENSMUSG00000054000" 31 108 52 108 50 92 215 185 111 73 75 70 135 102 99 75
"ENSMUSG00000054003" 2557 2954 3520 2982 2222 2289 2196 2734 2541 1697 2158 2528 3387 2150 2327 2034
"ENSMUSG00000054005" 407 449 684 358 513 525 607 525 377 305 364 429 821 533 488 463
"ENSMUSG00000054006" 0 0 2 0 0 0 0 1 1 0 0 0 0 0 0 0
"ENSMUSG00000054008" 1668 1704 2199 1574 1564 1736 1645 1830 665 303 323 474 576 338 392 434
"ENSMUSG00000054013" 7 14 42 26 2 8 34 32 0 0 0 0 7 0 1 0
"ENSMUSG00000054021" 625 979 969 626 613 596 474 525 195 173 200 238 258 170 270 164
"ENSMUSG00000054027" 676 694 670 551 764 753 708 870 420 192 305 330 328 258 329 368
"ENSMUSG00000054031" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054033" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054034" 0 0 0 12 0 0 2 0 0 0 0 0 0 2 0 3
"ENSMUSG00000054036" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054046" 2 7 8 0 6 19 1 4 7 11 6 20 37 15 39 19
"ENSMUSG00000054051" 3399 3304 3603 3433 3368 4053 3298 3186 1636 1197 1549 1431 2306 1508 1786 1581
"ENSMUSG00000054052" 3 0 3 0 0 0 2 0 0 1 0 0 0 0 0 0
"ENSMUSG00000054054" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054057" 2 2 0 0 0 0 1 2 3 1 9 0 7 0 4 0
"ENSMUSG00000054061" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3
"ENSMUSG00000054065" 0 0 4 0 4 0 0 0 0 2 1 11 0 0 0 0
"ENSMUSG00000054069" 0 0 3 0 0 0 0 8 0 0 0 0 0 0 0 0
"ENSMUSG00000054072" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054074" 28 22 57 19 22 28 37 52 25 1 9 31 5 9 10 6
"ENSMUSG00000054079" 2012 2103 2047 1875 2349 2340 1916 1901 4001 3472 4255 4487 5449 3965 4336 3929
"ENSMUSG00000054083" 73 120 131 172 147 107 123 95 117 57 111 136 187 90 84 166
"ENSMUSG00000054087" 3224 3661 3438 3920 3316 2906 3172 3061 3870 3316 3856 3924 5219 4930 4281 3238
"ENSMUSG00000054091" 191 177 256 214 191 288 198 205 136 155 151 258 361 190 265 263
"ENSMUSG00000054099" 190 295 278 256 219 227 348 318 253 208 324 414 513 135 374 209
"ENSMUSG00000054102" 2879 4534 4561 2830 3980 3219 3090 3347 9292 6596 8292 9817 10997 10365 9234 9380
"ENSMUSG00000054106" 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 1
"ENSMUSG00000054115" 152 74 197 117 130 173 129 140 106 128 106 55 182 146 97 118
"ENSMUSG00000054116" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054117" 10 11 14 0 0 7 3 1 11 4 0 2 4 2 1 0
"ENSMUSG00000054128" 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0
"ENSMUSG00000054134" 10066 10635 11287 13625 9979 10552 10768 8937 21666 17782 20764 26350 31706 27896 23631 20679
"ENSMUSG00000054135" 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0
"ENSMUSG00000054136" 1247 1063 822 902 1172 1224 1217 1005 2284 2280 2537 2870 3225 2480 2290 2275
"ENSMUSG00000054141" 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054142" 0 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0
"ENSMUSG00000054146" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054150" 1767 1605 2265 1849 2024 2103 2214 1783 733 491 419 548 877 367 842 570
"ENSMUSG00000054156" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054160" 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ENSMUSG00000054161" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054162" 722 436 1085 705 588 582 793 507 246 221 213 263 407 272 233 193
"ENSMUSG00000054169" 33 44 9 25 85 12 47 45 50 62 40 94 108 109 69 46
"ENSMUSG00000054181" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054191" 0 8 2 2 6 16 2 11 14 5 4 5 0 0 1 8
"ENSMUSG00000054196" 9 25 11 18 9 9 11 6 0 10 0 0 0 0 0 1
"ENSMUSG00000054199" 3968 3857 5252 3546 3794 4958 4197 3488 4662 3186 4198 4656 6202 3912 4611 3767
"ENSMUSG00000054200" 0 6 0 2 7 10 0 0 0 1 0 6 12 7 7 4
"ENSMUSG00000054203" 0 0 0 0 0 0 0 0 0 0 0 3 0 0 1 2
"ENSMUSG00000054204" 2 0 9 0 1 0 0 4 7 5 0 0 0 0 0 2
"ENSMUSG00000054206" 0 4 7 0 0 4 0 0 2 0 0 0 0 0 0 0
"ENSMUSG00000054215" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054226" 376 357 413 430 373 342 382 377 48 70 54 78 105 124 122 87
"ENSMUSG00000054236" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ENSMUSG00000054237" 241 210 281 220 262 254 217 200 490 379 676 617 639 575 651 394
"ENSMUSG00000054247" 49 21 51 28 58 45 46 33 24 15 14 23 27 4 13 27
"ENSMUSG00000054252" 0 3 1 0 0 0 0 1 10 0 0 0 0 0 0 1
"ENSMUSG00000054256" 70 21 122 49 35 7 22 34 12 11 49 12 16 14 35 8
"ENSMUSG00000054258" 69 40 44 37 63 23 97 82 21 22 7 29 64 45 22 31
"ENSMUSG00000054263" 1461 1308 1968 1597 1424 1388 1531 1673 236 160 152 165 289 292 160 246
"ENSMUSG00000054266" 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0
"ENSMUSG00000054272" 0 2 3 4 0 1 0 0 11 6 21 21 6 21 0 3
"ENSMUSG00000054277" 332 277 316 316 368 411 297 344 340 208 329 303 427 400 296 296
"ENSMUSG00000054280" 5886 6071 7941 6184 6396 6760 6505 6435 5414 4663 6461 5670 8447 4986 5449 4552
"ENSMUSG00000054293" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
"ENSMUSG00000054302" 824 842 814 816 837 658 790 722 647 751 853 864 1345 910 901 824
"ENSMUSG00000054304" 7 1 0 1 4 4 0 3 1 0 0 0 1 0 0 14
"ENSMUSG00000054309" 859 1115 1189 1133 1101 1120 1087 975 1667 1529 1902 2071 2651 2253 2021 1557
"ENSMUSG00000054310" 9729 9185 10803 12061 11512 10681 10544 8736 13653 13740 15748 17155 21100 18207 16957 13078
"ENSMUSG00000054312" 114 117 99 132 148 76 95 74 274 106 193 287 296 305 286 224
"ENSMUSG00000054320" 135 157 178 98 185 120 132 87 262 228 255 387 539 483 506 298
"ENSMUSG00000054321" 2283 2253 2855 2311 2392 2650 2411 2503 933 589 792 840 1613 928 1214 872
"ENSMUSG00000054325" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054342" 3 13 14 1 10 30 14 19 40 38 14 57 102 85 57 46
"ENSMUSG00000054351" 7 0 12 19 5 5 4 2 0 0 0 0 0 0 0 0
"ENSMUSG00000054360" 3 15 7 0 6 0 9 0 7 1 11 5 6 0 0 6
"ENSMUSG00000054362" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054364" 535 830 627 565 776 1051 552 549 459 771 316 874 786 305 394 213
"ENSMUSG00000054379" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054381" 82 90 129 79 163 128 210 191 0 0 0 0 18 0 0 0
"ENSMUSG00000054383" 4 0 8 0 5 0 21 2 10 7 7 0 0 0 6 0
"ENSMUSG00000054385" 71 58 9 15 8 14 5 0 642 204 562 274 402 666 146 353
"ENSMUSG00000054387" 20186 21294 17102 14716 19581 15232 17759 14597 57812 48400 71842 73515 71359 50600 56600 38573
"ENSMUSG00000054391" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054400" 104 174 129 89 50 65 125 129 93 66 114 127 156 119 97 96
"ENSMUSG00000054404" 0 10 1 1 4 0 0 1 2 1 0 1 0 1 0 1
"ENSMUSG00000054405" 2916 2981 3515 3315 3094 3682 2966 2815 3809 3830 4638 5013 6332 4751 4524 3281
"ENSMUSG00000054406" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054408" 575 1123 1046 881 549 519 659 1104 88 54 74 40 182 138 90 135
"ENSMUSG00000054409" 316 390 560 334 588 454 397 232 607 649 919 1018 798 672 523 557
"ENSMUSG00000054412" 16 7 5 2 8 0 1 2 7 6 3 2 5 7 0 0
"ENSMUSG00000054414" 651 613 982 1017 731 767 1074 1007 73 100 136 103 157 86 95 35
"ENSMUSG00000054417" 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054418" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054422" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054423" 71 66 127 63 74 77 38 112 50 47 70 41 169 171 176 160
"ENSMUSG00000054426" 8 28 13 7 0 8 3 5 0 3 21 13 12 1 0 1
"ENSMUSG00000054428" 117 153 171 99 136 191 116 114 291 182 357 325 359 383 290 235
"ENSMUSG00000054431" 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054434" 422 390 425 525 451 395 347 464 562 438 538 478 793 550 515 409
"ENSMUSG00000054435" 16 5 11 26 1 1 15 13 6 0 3 0 0 0 4 3
"ENSMUSG00000054446" 1414 1769 1495 1486 1399 1283 1193 991 4718 2941 3447 3999 4733 4589 4072 4260
"ENSMUSG00000054450" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054452" 701 568 690 645 522 483 521 631 653 527 729 771 995 643 638 689
"ENSMUSG00000054453" 120 59 192 103 89 92 167 170 47 3 7 12 84 47 46 58
"ENSMUSG00000054455" 1089 933 1095 1101 1175 1397 1018 1095 912 731 938 920 1202 992 992 733
"ENSMUSG00000054457" 190 163 227 215 183 292 171 135 367 349 345 377 365 327 285 258
"ENSMUSG00000054459" 19 18 23 23 4 7 3 23 16 4 20 21 43 36 16 22
"ENSMUSG00000054469" 3320 3497 3816 4031 3754 3929 3872 3888 1191 1218 1436 1325 2194 1504 1392 1011
"ENSMUSG00000054474" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8
"ENSMUSG00000054477" 1327 1314 1629 1327 1382 945 1254 897 1383 1038 1992 1944 2342 1631 1780 1582
"ENSMUSG00000054484" 297 379 481 222 359 330 348 331 192 111 202 128 250 145 269 188
"ENSMUSG00000054488" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054493" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054497" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054498" 0 0 1 0 0 0 2 0 0 0 0 0 0 0 0 2
"ENSMUSG00000054499" 114 228 161 143 126 159 170 181 53 29 14 18 5 26 20 80
"ENSMUSG00000054509" 4905 5724 5464 5446 6128 6799 5145 6036 2252 1878 2192 2629 3676 2596 2647 2392
"ENSMUSG00000054510" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054514" 5 0 10 0 10 6 6 11 1 6 2 10 1 2 0 0
"ENSMUSG00000054517" 74 63 125 98 93 126 89 96 30 80 51 123 47 69 27 24
"ENSMUSG00000054519" 243 234 304 293 297 266 285 319 24 2 26 34 27 21 11 11
"ENSMUSG00000054520" 3099 2972 3835 3525 3663 3836 3275 2572 4170 4077 3337 4744 6166 4523 4350 4171
"ENSMUSG00000054523" 1 2 1 2 7 16 22 13 0 3 0 1 20 0 15 1
"ENSMUSG00000054526" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054537" 3 0 0 0 0 7 16 1 1 0 2 2 0 1 13 8
"ENSMUSG00000054545" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000054555" 904 815 1287 1124 1070 1425 928 1121 628 324 386 351 567 464 532 587
