"dis3l2_yg_cKO_1_1_S11_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_2_S14_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_3_S9_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_1_4_S12_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_1_S15_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_2_S10_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_3_S13_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_cKO_2_4_S16_L002_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_1_S6_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_2_S1_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_3_S4_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_1_4_S7_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_1_S2_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_2_S5_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_3_S8_L001_R1_001_cutadaptAligned_genes_yes.txt" "dis3l2_yg_ctr_2_4_S3_L001_R1_001_cutadaptAligned_genes_yes.txt"
"ENSMUSG00000000386" 41 2 19 12 14 29 17 36 6 9 4 71 65 43 72 15
"ENSMUSG00000000392" 3 18 146 27 9 1 10 28 1 0 3 1 0 0 0 11
"ENSMUSG00000000394" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
"ENSMUSG00000000399" 919 939 1214 1152 977 1052 1320 1114 848 682 999 1095 1430 1334 989 745
"ENSMUSG00000000402" 576 614 841 729 761 795 889 722 226 194 321 559 593 567 750 273
"ENSMUSG00000000409" 0 0 0 4 0 0 0 0 9 0 0 0 0 0 0 0
"ENSMUSG00000000411" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000416" 3122 2008 5112 2753 2858 3062 3331 3279 371 233 978 569 805 650 1205 983
"ENSMUSG00000000420" 1513 1574 1730 1430 1659 1693 1470 1610 1552 1428 1454 1521 2051 1588 1856 1631
"ENSMUSG00000000435" 2 0 36 5 14 24 29 18 0 0 0 0 0 0 0 0
"ENSMUSG00000000439" 3144 2487 2883 3389 2898 3019 3027 2650 2594 2565 3111 2955 4145 3192 3040 2507
"ENSMUSG00000000440" 177 140 160 145 242 243 188 198 430 397 636 669 783 746 549 486
"ENSMUSG00000000441" 5146 3797 5474 4852 5352 5690 4822 4845 5740 5960 6388 7685 9270 7018 7222 6386
"ENSMUSG00000000486" 44 27 42 35 26 27 30 25 23 5 11 31 9 14 5 5
"ENSMUSG00000000489" 85 281 138 176 187 152 147 184 296 294 350 311 481 380 409 402
"ENSMUSG00000000530" 27 16 33 10 4 10 33 6 20 3 0 20 0 0 20 0
"ENSMUSG00000000531" 36 43 20 12 16 6 10 13 117 160 158 123 276 61 81 145
"ENSMUSG00000000532" 5128 5091 6453 5624 5687 5598 5901 5088 3487 3647 3378 3884 4839 3146 3960 3148
"ENSMUSG00000000538" 3671 3764 4356 3679 3623 3404 2709 2908 4071 3046 2893 3610 4175 2980 3260 3237
"ENSMUSG00000000544" 39 29 44 12 10 16 7 13 143 150 83 82 74 38 35 38
"ENSMUSG00000000552" 452 481 543 385 491 584 376 382 942 869 710 774 1066 663 722 732
"ENSMUSG00000000555" 333 671 982 564 302 418 723 629 86 15 28 0 62 38 10 51
"ENSMUSG00000000560" 14 23 69 18 33 41 73 41 4 0 0 1 0 0 15 0
"ENSMUSG00000000561" 4 19 54 4 24 22 14 19 6 0 0 0 0 0 2 1
"ENSMUSG00000000562" 0 0 3 0 2 0 10 0 2 9 3 0 36 1 7 6
"ENSMUSG00000000563" 349 467 495 488 428 374 315 358 455 412 406 521 690 569 514 530
"ENSMUSG00000000567" 0 0 1 2 26 0 4 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000568" 2693 2180 2934 2552 2889 3297 3091 2719 3214 2944 3676 3912 4168 3507 3582 3187
"ENSMUSG00000000579" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000581" 122 277 307 253 182 282 319 309 11 9 25 8 83 47 71 43
"ENSMUSG00000000594" 27 79 66 56 49 32 60 41 46 2 26 5 28 4 22 8
"ENSMUSG00000000600" 432 679 816 472 518 512 590 769 241 145 201 312 459 318 390 314
"ENSMUSG00000000605" 88 166 120 94 142 122 169 146 80 46 27 20 80 35 25 46
"ENSMUSG00000000606" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000617" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000627" 33 94 40 36 31 23 41 33 5 13 0 9 6 0 13 2
"ENSMUSG00000000628" 499 986 670 580 936 751 544 743 123 204 209 166 284 122 122 93
"ENSMUSG00000000631" 2628 3079 3570 2370 2779 2681 2251 2281 3770 2125 2762 3382 3984 2310 3297 3945
"ENSMUSG00000000632" 3 15 24 17 1 11 0 8 14 10 9 10 6 12 1 15
"ENSMUSG00000000673" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSMUSG00000000682" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSMUSG00000000686" 25 86 33 25 50 25 61 63 12 17 24 32 21 4 33 23
"ENSMUSG00000000690" 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSMUSG00000000693" 10 25 3 3 6 13 1 3 15 4 17 25 9 8 15 2
"ENSMUSG00000000701" 527 336 413 372 511 555 560 289 2255 1899 1956 2869 3597 3211 2930 2260
"ENSMUSG00000000706" 10 20 91 22 12 9 22 15 5 2 12 0 7 0 10 12
"ENSMUSG00000000708" 288 318 868 401 351 313 479 482 32 14 19 36 94 43 97 44
"ENSMUSG00000000711" 442 555 662 542 525 611 497 664 201 123 143 287 360 188 201 132
"ENSMUSG00000000724" 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 4
"ENSMUSG00000000730" 883 1189 1125 802 867 1002 684 674 2365 1683 1807 2194 2654 1988 2352 1942
"ENSMUSG00000000731" 126 166 231 135 148 134 123 107 317 169 133 231 250 303 234 212
"ENSMUSG00000000732" 2870 3203 2922 3231 2958 2874 2984 2832 3918 3233 3829 3793 4945 2988 3706 2973
"ENSMUSG00000000738" 129 171 126 115 121 141 137 147 36 37 43 64 36 38 37 97
"ENSMUSG00000000739" 111 53 68 125 62 108 84 68 139 119 51 98 109 200 106 39
"ENSMUSG00000000740" 74 112 115 150 175 121 52 102 208 176 214 284 475 292 222 226
"ENSMUSG00000000743" 179 321 255 202 254 210 244 221 469 371 344 510 690 426 437 618
